Sıra,Zorluk,Kategori,Görev,Hedef URL / Dosya,Tahmini Etki,Süre,Durum,Notlar
1,Kolay,Teknik SEO,ISO sertifika logoları footer'a ekle,"index.html, ik-yazilimi.html",Orta,1 saat,Bekliyor,"ISO 27001 / 27701 / 9001 görseli; KolayIK footer'da prominently gösteriyor — güven sinyali"
2,Kolay,Teknik SEO,Telefon numarası footer'a ekle (tüm sayfalara),"index.html footer, styles.css",Orta,1 saat,Bekliyor,"Google E-A-T sinyali; KolayIK +90 212 951 06 61 gösteriyor; CADRO'da sadece WhatsApp var"
3,Kolay,Teknik SEO,Fiziksel adres footer'a ekle (Schema + görsel),"index.html + tüm sayfalar",Orta,1 saat,Bekliyor,"LocalBusiness schema ekle; adres güven sinyali ve yerel SEO için kritik"
4,Kolay,Teknik SEO,Yerli üretim logosu footer'a ekle,"index.html footer",Düşük,30 dk,Bekliyor,"TR pazarında ciddi güven unsuru; KolayIK hero bölümünde gösteriyor"
5,Kolay,Teknik SEO,robots.txt — GPTBot yasağı kaldır veya gözden geçir,robots.txt,Düşük,15 dk,Bekliyor,"GPTBot'u tamamen engellemek AI Overview (SGE) trafik kaybına yol açabilir; Allow: / düşün"
6,Kolay,İçerik,Mevcut blog makalelerine tarih + yazar metadata ekle,"tüm makale- sayfaları",Orta,2 saat,Bekliyor,"Article schema datePublished/dateModified + author ekle; Google tazelik sinyali"
7,Kolay,İçerik,FAQ şeması ik-yazilimi.html'ye daha fazla soru ekle,ik-yazilimi.html,Orta,1 saat,Bekliyor,"'İnsan kaynakları programı nedir?', 'En iyi İK yazılımı hangisi?' gibi sık aranan sorular"
8,Kolay,Bağlantı,G2 / Capterra / GetApp profili aç (ücretsiz),Harici platform,Yüksek,2 saat,Bekliyor,"Bu platformlardan gelen backlink + karar vericilerin başvurduğu kanallar; yorum topla"
9,Orta,Yeni Sayfa,/bordro-yazilimi sayfası oluştur,bordro-yazilimi.html,Çok Yüksek,1 gün,Bekliyor,"Türkiye'de en yüksek hacimli İK araması; KolayIK'ın en güçlü sayfası; acil öncelik"
10,Orta,Yeni Sayfa,/pdks sayfası oluştur (Personel Devam Kontrol Sistemi),pdks.html,Yüksek,4 saat,Bekliyor,"'PDKS nedir', 'PDKS yazılımı' aramaları; KolayIK'ta ayrı modül sayfası var"
